iteration, loss, accuracy
10000, 0.015702, 0.08000
20000, 0.013273, 0.20000
30000, 0.012552, 0.20000
40000, 0.012016, 0.16000
50000, 0.012012, 0.26000
60000, 0.011346, 0.24000
70000, 0.011458, 0.32000
80000, 0.011256, 0.40000
90000, 0.010567, 0.36000
100000, 0.011330, 0.32000
110000, 0.010629, 0.34000
120000, 0.009929, 0.42000
130000, 0.011165, 0.28000
140000, 0.010250, 0.36000
150000, 0.010699, 0.32000
160000, 0.009935, 0.36000
170000, 0.010071, 0.32000
180000, 0.009145, 0.46000
190000, 0.009411, 0.44000
200000, 0.010558, 0.40000
210000, 0.010964, 0.30000
220000, 0.010930, 0.32000
230000, 0.009768, 0.42000
240000, 0.009321, 0.50000
250000, 0.008784, 0.50000
260000, 0.008687, 0.56000
270000, 0.010132, 0.38000
280000, 0.010105, 0.36000
290000, 0.009792, 0.40000
300000, 0.008865, 0.46000
310000, 0.009806, 0.42000
320000, 0.008285, 0.54000
330000, 0.009324, 0.50000
340000, 0.008460, 0.56000
350000, 0.009041, 0.42000
360000, 0.008328, 0.46000
370000, 0.008499, 0.58000
380000, 0.009019, 0.44000
390000, 0.001175, 0.96000
400000, 0.009313, 0.40000
410000, 0.008363, 0.56000
420000, 0.009096, 0.48000
430000, 0.008542, 0.44000
440000, 0.007136, 0.62000
450000, 0.007395, 0.70000
460000, 0.007604, 0.62000
470000, 0.008406, 0.50000
480000, 0.006205, 0.78000
490000, 0.008338, 0.54000
500000, 0.007566, 0.62000
510000, 0.006504, 0.64000
520000, 0.007507, 0.64000
530000, 0.006028, 0.72000
540000, 0.006660, 0.70000
550000, 0.005976, 0.72000
560000, 0.005890, 0.74000
570000, 0.004999, 0.82000
580000, 0.005417, 0.70000
590000, 0.006737, 0.60000
600000, 0.006610, 0.76000
610000, 0.006275, 0.72000
620000, 0.004956, 0.80000
630000, 0.005253, 0.72000
640000, 0.004905, 0.78000
650000, 0.004405, 0.82000
660000, 0.005310, 0.72000
670000, 0.005030, 0.78000
680000, 0.005144, 0.72000
690000, 0.004085, 0.86000
700000, 0.002978, 0.94000
710000, 0.003838, 0.80000
720000, 0.003895, 0.80000
730000, 0.002773, 0.92000
740000, 0.002987, 0.88000
750000, 0.003536, 0.86000
760000, 0.003793, 0.80000
770000, 0.004250, 0.82000
780000, 0.000125, 1.00000
790000, 0.003677, 0.84000
800000, 0.003113, 0.84000
810000, 0.003422, 0.90000
820000, 0.003318, 0.92000
830000, 0.003530, 0.78000
840000, 0.002897, 0.90000
850000, 0.002697, 0.90000
860000, 0.003256, 0.84000
870000, 0.001369, 0.98000
880000, 0.003056, 0.96000
890000, 0.002919, 0.88000
900000, 0.002600, 0.86000
910000, 0.002260, 0.90000
920000, 0.001920, 0.92000
930000, 0.002237, 0.94000
940000, 0.002132, 0.92000
950000, 0.002554, 0.88000
960000, 0.001513, 0.96000
970000, 0.001368, 0.98000
980000, 0.002819, 0.90000
990000, 0.001800, 0.94000
1000000, 0.002354, 0.90000
1010000, 0.002053, 0.96000
1020000, 0.000926, 1.00000
1030000, 0.001594, 0.92000
1040000, 0.001408, 0.96000
1050000, 0.002358, 0.90000
1060000, 0.001419, 0.98000
1070000, 0.001271, 0.98000
1080000, 0.001286, 0.94000
1090000, 0.000850, 1.00000
1100000, 0.001534, 0.92000
1110000, 0.000909, 1.00000
1120000, 0.000875, 0.98000
1130000, 0.001009, 0.98000
1140000, 0.000716, 1.00000
1150000, 0.001865, 0.94000
1160000, 0.001641, 0.92000
1170000, 0.000241, 1.00000
