iteration, loss, accuracy
10000, 0.011956, 0.16000
20000, 0.011085, 0.26000
30000, 0.011918, 0.10000
40000, 0.011041, 0.24000
50000, 0.011160, 0.20000
60000, 0.010718, 0.28000
70000, 0.010820, 0.24000
80000, 0.011802, 0.26000
90000, 0.010466, 0.38000
100000, 0.010907, 0.30000
110000, 0.010562, 0.28000
120000, 0.009975, 0.32000
130000, 0.010518, 0.32000
140000, 0.009293, 0.36000
150000, 0.010522, 0.34000
160000, 0.009994, 0.36000
170000, 0.009639, 0.28000
180000, 0.010431, 0.30000
190000, 0.009777, 0.36000
200000, 0.009329, 0.42000
210000, 0.009400, 0.40000
220000, 0.009607, 0.44000
230000, 0.009693, 0.50000
240000, 0.009225, 0.40000
250000, 0.009119, 0.44000
260000, 0.008802, 0.42000
270000, 0.008717, 0.44000
280000, 0.009174, 0.38000
290000, 0.010485, 0.26000
300000, 0.008973, 0.44000
310000, 0.007322, 0.60000
320000, 0.008580, 0.46000
330000, 0.009674, 0.34000
340000, 0.008174, 0.46000
350000, 0.008444, 0.48000
360000, 0.009353, 0.40000
370000, 0.010437, 0.30000
380000, 0.008464, 0.48000
390000, 0.008129, 0.48000
400000, 0.008048, 0.50000
410000, 0.008981, 0.54000
420000, 0.008884, 0.46000
430000, 0.008705, 0.40000
440000, 0.008120, 0.50000
450000, 0.007254, 0.62000
460000, 0.008138, 0.46000
470000, 0.007884, 0.44000
480000, 0.008895, 0.48000
490000, 0.008424, 0.50000
500000, 0.008759, 0.50000
510000, 0.007496, 0.52000
520000, 0.008769, 0.42000
530000, 0.007758, 0.48000
540000, 0.008679, 0.38000
550000, 0.009376, 0.44000
560000, 0.007360, 0.56000
570000, 0.009332, 0.44000
580000, 0.007464, 0.58000
590000, 0.008567, 0.46000
600000, 0.008210, 0.48000
610000, 0.007898, 0.50000
620000, 0.008466, 0.54000
630000, 0.008318, 0.50000
640000, 0.008370, 0.40000
650000, 0.007394, 0.64000
660000, 0.007068, 0.52000
670000, 0.009338, 0.36000
680000, 0.007554, 0.48000
690000, 0.006949, 0.64000
700000, 0.007287, 0.60000
710000, 0.006087, 0.68000
720000, 0.006624, 0.62000
730000, 0.006926, 0.56000
740000, 0.006333, 0.62000
750000, 0.006939, 0.60000
760000, 0.005521, 0.74000
770000, 0.007786, 0.56000
780000, 0.006754, 0.58000
790000, 0.007193, 0.54000
800000, 0.007164, 0.54000
810000, 0.005778, 0.68000
820000, 0.007515, 0.54000
830000, 0.007326, 0.54000
840000, 0.006645, 0.58000
850000, 0.007324, 0.58000
860000, 0.005539, 0.68000
870000, 0.006142, 0.58000
880000, 0.005217, 0.68000
890000, 0.005608, 0.68000
900000, 0.005706, 0.70000
910000, 0.006535, 0.62000
920000, 0.006165, 0.58000
930000, 0.004677, 0.78000
940000, 0.006618, 0.58000
950000, 0.005524, 0.64000
960000, 0.006000, 0.64000
970000, 0.004482, 0.76000
980000, 0.005566, 0.70000
990000, 0.005480, 0.66000
1000000, 0.006961, 0.56000
1010000, 0.004469, 0.76000
1020000, 0.004716, 0.68000
1030000, 0.005346, 0.68000
1040000, 0.005157, 0.66000
1050000, 0.005838, 0.66000
1060000, 0.004629, 0.72000
1070000, 0.005566, 0.64000
1080000, 0.003911, 0.78000
1090000, 0.005472, 0.68000
1100000, 0.004569, 0.72000
1110000, 0.004695, 0.70000
1120000, 0.004084, 0.78000
1130000, 0.004315, 0.72000
1140000, 0.005083, 0.68000
1150000, 0.004288, 0.72000
1160000, 0.003947, 0.82000
1170000, 0.003127, 0.86000
1180000, 0.003963, 0.76000
1190000, 0.005333, 0.64000
1200000, 0.004565, 0.72000
1210000, 0.004143, 0.76000
1220000, 0.004623, 0.70000
1230000, 0.003857, 0.80000
1240000, 0.004067, 0.74000
1250000, 0.003801, 0.74000
1260000, 0.004440, 0.72000
1270000, 0.003461, 0.74000
1280000, 0.002997, 0.82000
1290000, 0.003299, 0.82000
1300000, 0.003907, 0.74000
1310000, 0.005570, 0.66000
1320000, 0.003800, 0.80000
