Iteration 10000, batch loss: 0.011956, training accuracy: 0.16000
Iteration 20000, batch loss: 0.011085, training accuracy: 0.26000
Iteration 30000, batch loss: 0.011918, training accuracy: 0.10000
Iteration 40000, batch loss: 0.011041, training accuracy: 0.24000
Iteration 50000, batch loss: 0.011160, training accuracy: 0.20000
Iteration 60000, batch loss: 0.010718, training accuracy: 0.28000
Iteration 70000, batch loss: 0.010820, training accuracy: 0.24000
Iteration 80000, batch loss: 0.011802, training accuracy: 0.26000
Iteration 90000, batch loss: 0.010466, training accuracy: 0.38000
Iteration 100000, batch loss: 0.010907, training accuracy: 0.30000
Iteration 110000, batch loss: 0.010562, training accuracy: 0.28000
Iteration 120000, batch loss: 0.009975, training accuracy: 0.32000
Iteration 130000, batch loss: 0.010518, training accuracy: 0.32000
Iteration 140000, batch loss: 0.009293, training accuracy: 0.36000
Iteration 150000, batch loss: 0.010522, training accuracy: 0.34000
Iteration 160000, batch loss: 0.009994, training accuracy: 0.36000
Iteration 170000, batch loss: 0.009639, training accuracy: 0.28000
Iteration 180000, batch loss: 0.010431, training accuracy: 0.30000
Iteration 190000, batch loss: 0.009777, training accuracy: 0.36000
Iteration 200000, batch loss: 0.009329, training accuracy: 0.42000
Iteration 210000, batch loss: 0.009400, training accuracy: 0.40000
Iteration 220000, batch loss: 0.009607, training accuracy: 0.44000
Iteration 230000, batch loss: 0.009693, training accuracy: 0.50000
Iteration 240000, batch loss: 0.009225, training accuracy: 0.40000
Iteration 250000, batch loss: 0.009119, training accuracy: 0.44000
Iteration 260000, batch loss: 0.008802, training accuracy: 0.42000
Iteration 270000, batch loss: 0.008717, training accuracy: 0.44000
Iteration 280000, batch loss: 0.009174, training accuracy: 0.38000
Iteration 290000, batch loss: 0.010485, training accuracy: 0.26000
Iteration 300000, batch loss: 0.008973, training accuracy: 0.44000
Iteration 310000, batch loss: 0.007322, training accuracy: 0.60000
Iteration 320000, batch loss: 0.008580, training accuracy: 0.46000
Iteration 330000, batch loss: 0.009674, training accuracy: 0.34000
Iteration 340000, batch loss: 0.008174, training accuracy: 0.46000
Iteration 350000, batch loss: 0.008444, training accuracy: 0.48000
Iteration 360000, batch loss: 0.009353, training accuracy: 0.40000
Iteration 370000, batch loss: 0.010437, training accuracy: 0.30000
Iteration 380000, batch loss: 0.008464, training accuracy: 0.48000
Iteration 390000, batch loss: 0.008129, training accuracy: 0.48000
Iteration 400000, batch loss: 0.008048, training accuracy: 0.50000
Iteration 410000, batch loss: 0.008981, training accuracy: 0.54000
Iteration 420000, batch loss: 0.008884, training accuracy: 0.46000
Iteration 430000, batch loss: 0.008705, training accuracy: 0.40000
Iteration 440000, batch loss: 0.008120, training accuracy: 0.50000
Iteration 450000, batch loss: 0.007254, training accuracy: 0.62000
Iteration 460000, batch loss: 0.008138, training accuracy: 0.46000
Iteration 470000, batch loss: 0.007884, training accuracy: 0.44000
Iteration 480000, batch loss: 0.008895, training accuracy: 0.48000
Iteration 490000, batch loss: 0.008424, training accuracy: 0.50000
Iteration 500000, batch loss: 0.008759, training accuracy: 0.50000
Iteration 510000, batch loss: 0.007496, training accuracy: 0.52000
Iteration 520000, batch loss: 0.008769, training accuracy: 0.42000
Iteration 530000, batch loss: 0.007758, training accuracy: 0.48000
Iteration 540000, batch loss: 0.008679, training accuracy: 0.38000
Iteration 550000, batch loss: 0.009376, training accuracy: 0.44000
Iteration 560000, batch loss: 0.007360, training accuracy: 0.56000
Iteration 570000, batch loss: 0.009332, training accuracy: 0.44000
Iteration 580000, batch loss: 0.007464, training accuracy: 0.58000
Iteration 590000, batch loss: 0.008567, training accuracy: 0.46000
Iteration 600000, batch loss: 0.008210, training accuracy: 0.48000
Iteration 610000, batch loss: 0.007898, training accuracy: 0.50000
Iteration 620000, batch loss: 0.008466, training accuracy: 0.54000
Iteration 630000, batch loss: 0.008318, training accuracy: 0.50000
Iteration 640000, batch loss: 0.008370, training accuracy: 0.40000
Iteration 650000, batch loss: 0.007394, training accuracy: 0.64000
Iteration 660000, batch loss: 0.007068, training accuracy: 0.52000
Iteration 670000, batch loss: 0.009338, training accuracy: 0.36000
Iteration 680000, batch loss: 0.007554, training accuracy: 0.48000
Iteration 690000, batch loss: 0.006949, training accuracy: 0.64000
Iteration 700000, batch loss: 0.007287, training accuracy: 0.60000
Iteration 710000, batch loss: 0.006087, training accuracy: 0.68000
Iteration 720000, batch loss: 0.006624, training accuracy: 0.62000
Iteration 730000, batch loss: 0.006926, training accuracy: 0.56000
Iteration 740000, batch loss: 0.006333, training accuracy: 0.62000
Iteration 750000, batch loss: 0.006939, training accuracy: 0.60000
Iteration 760000, batch loss: 0.005521, training accuracy: 0.74000
Iteration 770000, batch loss: 0.007786, training accuracy: 0.56000
Iteration 780000, batch loss: 0.006754, training accuracy: 0.58000
Iteration 790000, batch loss: 0.007193, training accuracy: 0.54000
Iteration 800000, batch loss: 0.007164, training accuracy: 0.54000
Iteration 810000, batch loss: 0.005778, training accuracy: 0.68000
Iteration 820000, batch loss: 0.007515, training accuracy: 0.54000
Iteration 830000, batch loss: 0.007326, training accuracy: 0.54000
Iteration 840000, batch loss: 0.006645, training accuracy: 0.58000
Iteration 850000, batch loss: 0.007324, training accuracy: 0.58000
Iteration 860000, batch loss: 0.005539, training accuracy: 0.68000
Iteration 870000, batch loss: 0.006142, training accuracy: 0.58000
Iteration 880000, batch loss: 0.005217, training accuracy: 0.68000
Iteration 890000, batch loss: 0.005608, training accuracy: 0.68000
Iteration 900000, batch loss: 0.005706, training accuracy: 0.70000
Iteration 910000, batch loss: 0.006535, training accuracy: 0.62000
Iteration 920000, batch loss: 0.006165, training accuracy: 0.58000
Iteration 930000, batch loss: 0.004677, training accuracy: 0.78000
Iteration 940000, batch loss: 0.006618, training accuracy: 0.58000
Iteration 950000, batch loss: 0.005524, training accuracy: 0.64000
Iteration 960000, batch loss: 0.006000, training accuracy: 0.64000
Iteration 970000, batch loss: 0.004482, training accuracy: 0.76000
Iteration 980000, batch loss: 0.005566, training accuracy: 0.70000
Iteration 990000, batch loss: 0.005480, training accuracy: 0.66000
Iteration 1000000, batch loss: 0.006961, training accuracy: 0.56000
Iteration 1010000, batch loss: 0.004469, training accuracy: 0.76000
Iteration 1020000, batch loss: 0.004716, training accuracy: 0.68000
Iteration 1030000, batch loss: 0.005346, training accuracy: 0.68000
Iteration 1040000, batch loss: 0.005157, training accuracy: 0.66000
Iteration 1050000, batch loss: 0.005838, training accuracy: 0.66000
Iteration 1060000, batch loss: 0.004629, training accuracy: 0.72000
Iteration 1070000, batch loss: 0.005566, training accuracy: 0.64000
Iteration 1080000, batch loss: 0.003911, training accuracy: 0.78000
Iteration 1090000, batch loss: 0.005472, training accuracy: 0.68000
