iteration, loss, accuracy
10000, 0.012155, 0.24000
20000, 0.012008, 0.16000
30000, 0.011302, 0.22000
40000, 0.011676, 0.26000
50000, 0.010664, 0.32000
60000, 0.010836, 0.28000
70000, 0.010096, 0.46000
80000, 0.010570, 0.30000
90000, 0.011550, 0.20000
100000, 0.010078, 0.38000
110000, 0.009833, 0.36000
120000, 0.010847, 0.34000
130000, 0.010363, 0.28000
140000, 0.009948, 0.40000
150000, 0.010804, 0.32000
160000, 0.010643, 0.34000
170000, 0.010909, 0.26000
180000, 0.010516, 0.34000
190000, 0.008997, 0.46000
200000, 0.010036, 0.32000
210000, 0.009193, 0.48000
220000, 0.010012, 0.34000
230000, 0.009207, 0.40000
240000, 0.008281, 0.52000
250000, 0.008489, 0.52000
260000, 0.010013, 0.36000
270000, 0.009237, 0.42000
280000, 0.008229, 0.54000
290000, 0.008878, 0.52000
300000, 0.008118, 0.56000
310000, 0.008011, 0.58000
320000, 0.009542, 0.42000
330000, 0.009356, 0.44000
340000, 0.007628, 0.56000
350000, 0.008686, 0.50000
360000, 0.009501, 0.48000
370000, 0.008759, 0.46000
380000, 0.009069, 0.50000
390000, 0.007911, 0.50000
400000, 0.008511, 0.54000
410000, 0.008904, 0.40000
420000, 0.008802, 0.44000
430000, 0.008867, 0.42000
440000, 0.010560, 0.46000
450000, 0.010511, 0.40000
460000, 0.009526, 0.38000
470000, 0.010016, 0.38000
480000, 0.009794, 0.34000
490000, 0.009128, 0.38000
500000, 0.008531, 0.56000
510000, 0.008663, 0.46000
520000, 0.009375, 0.40000
530000, 0.007888, 0.58000
540000, 0.008806, 0.44000
550000, 0.007986, 0.46000
560000, 0.008585, 0.48000
570000, 0.009008, 0.38000
580000, 0.010283, 0.38000
590000, 0.009005, 0.42000
600000, 0.008052, 0.52000
610000, 0.007910, 0.56000
620000, 0.007739, 0.56000
630000, 0.009189, 0.44000
640000, 0.008497, 0.46000
650000, 0.009120, 0.44000
660000, 0.007680, 0.54000
670000, 0.007794, 0.52000
680000, 0.007484, 0.54000
690000, 0.008223, 0.56000
700000, 0.008543, 0.46000
710000, 0.008654, 0.56000
720000, 0.008563, 0.48000
730000, 0.008783, 0.44000
740000, 0.008987, 0.40000
750000, 0.007343, 0.56000
760000, 0.006933, 0.56000
770000, 0.007550, 0.54000
780000, 0.008862, 0.44000
790000, 0.007511, 0.54000
800000, 0.007650, 0.56000
810000, 0.008338, 0.58000
820000, 0.008357, 0.44000
830000, 0.007654, 0.58000
840000, 0.008190, 0.48000
850000, 0.008694, 0.46000
860000, 0.009149, 0.34000
870000, 0.007869, 0.52000
880000, 0.007064, 0.66000
890000, 0.007710, 0.54000
900000, 0.007238, 0.60000
910000, 0.008553, 0.48000
920000, 0.007793, 0.46000
930000, 0.006599, 0.66000
940000, 0.006647, 0.64000
950000, 0.007895, 0.48000
960000, 0.007824, 0.50000
970000, 0.006734, 0.62000
980000, 0.007445, 0.52000
990000, 0.006084, 0.66000
1000000, 0.006723, 0.62000
1010000, 0.007435, 0.64000
1020000, 0.008200, 0.50000
1030000, 0.006241, 0.66000
1040000, 0.007499, 0.58000
1050000, 0.007700, 0.60000
1060000, 0.006918, 0.56000
1070000, 0.007136, 0.58000
1080000, 0.006230, 0.68000
1090000, 0.006299, 0.66000
1100000, 0.007626, 0.56000
1110000, 0.007420, 0.54000
1120000, 0.008292, 0.52000
1130000, 0.005698, 0.72000
1140000, 0.007384, 0.56000
1150000, 0.006566, 0.60000
1160000, 0.006780, 0.60000
1170000, 0.006620, 0.62000
1180000, 0.006290, 0.70000
1190000, 0.005599, 0.74000
1200000, 0.005394, 0.68000
1210000, 0.006086, 0.62000
1220000, 0.005777, 0.66000
1230000, 0.006597, 0.62000
1240000, 0.005291, 0.68000
1250000, 0.006195, 0.64000
1260000, 0.005461, 0.70000
1270000, 0.007416, 0.58000
1280000, 0.005424, 0.74000
1290000, 0.004028, 0.86000
1300000, 0.005095, 0.72000
1310000, 0.005006, 0.72000
1320000, 0.005765, 0.70000
1330000, 0.004841, 0.78000
1340000, 0.005410, 0.70000
1350000, 0.004809, 0.76000
1360000, 0.004739, 0.80000
1370000, 0.003644, 0.82000
1380000, 0.004833, 0.74000
1390000, 0.005238, 0.70000
1400000, 0.004145, 0.82000
1410000, 0.005650, 0.70000
1420000, 0.004111, 0.84000
1430000, 0.005739, 0.62000
1440000, 0.003207, 0.86000
1450000, 0.003615, 0.82000
1460000, 0.003530, 0.82000
1470000, 0.004726, 0.72000
1480000, 0.004045, 0.76000
1490000, 0.003434, 0.80000
1500000, 0.003585, 0.84000
1510000, 0.004138, 0.76000
1520000, 0.003517, 0.80000
1530000, 0.004049, 0.72000
1540000, 0.004062, 0.80000
1550000, 0.004731, 0.70000
1560000, 0.003575, 0.78000
1570000, 0.002242, 0.90000
1580000, 0.002595, 0.90000
1590000, 0.002266, 0.90000
1600000, 0.003423, 0.82000
1610000, 0.003083, 0.80000
1620000, 0.002498, 0.90000
1630000, 0.002876, 0.86000
1640000, 0.003349, 0.84000
1650000, 0.002661, 0.86000
