Iteration 10000, batch loss: 0.012155, training accuracy: 0.24000
Iteration 20000, batch loss: 0.012008, training accuracy: 0.16000
Iteration 30000, batch loss: 0.011302, training accuracy: 0.22000
Iteration 40000, batch loss: 0.011676, training accuracy: 0.26000
Iteration 50000, batch loss: 0.010664, training accuracy: 0.32000
Iteration 60000, batch loss: 0.010836, training accuracy: 0.28000
Iteration 70000, batch loss: 0.010096, training accuracy: 0.46000
Iteration 80000, batch loss: 0.010570, training accuracy: 0.30000
Iteration 90000, batch loss: 0.011550, training accuracy: 0.20000
Iteration 100000, batch loss: 0.010078, training accuracy: 0.38000
Iteration 110000, batch loss: 0.009833, training accuracy: 0.36000
Iteration 120000, batch loss: 0.010847, training accuracy: 0.34000
Iteration 130000, batch loss: 0.010363, training accuracy: 0.28000
Iteration 140000, batch loss: 0.009948, training accuracy: 0.40000
Iteration 150000, batch loss: 0.010804, training accuracy: 0.32000
Iteration 160000, batch loss: 0.010643, training accuracy: 0.34000
Iteration 170000, batch loss: 0.010909, training accuracy: 0.26000
Iteration 180000, batch loss: 0.010516, training accuracy: 0.34000
Iteration 190000, batch loss: 0.008997, training accuracy: 0.46000
Iteration 200000, batch loss: 0.010036, training accuracy: 0.32000
Iteration 210000, batch loss: 0.009193, training accuracy: 0.48000
Iteration 220000, batch loss: 0.010012, training accuracy: 0.34000
Iteration 230000, batch loss: 0.009207, training accuracy: 0.40000
Iteration 240000, batch loss: 0.008281, training accuracy: 0.52000
Iteration 250000, batch loss: 0.008489, training accuracy: 0.52000
Iteration 260000, batch loss: 0.010013, training accuracy: 0.36000
Iteration 270000, batch loss: 0.009237, training accuracy: 0.42000
Iteration 280000, batch loss: 0.008229, training accuracy: 0.54000
Iteration 290000, batch loss: 0.008878, training accuracy: 0.52000
Iteration 300000, batch loss: 0.008118, training accuracy: 0.56000
Iteration 310000, batch loss: 0.008011, training accuracy: 0.58000
Iteration 320000, batch loss: 0.009542, training accuracy: 0.42000
Iteration 330000, batch loss: 0.009356, training accuracy: 0.44000
Iteration 340000, batch loss: 0.007628, training accuracy: 0.56000
Iteration 350000, batch loss: 0.008686, training accuracy: 0.50000
Iteration 360000, batch loss: 0.009501, training accuracy: 0.48000
Iteration 370000, batch loss: 0.008759, training accuracy: 0.46000
Iteration 380000, batch loss: 0.009069, training accuracy: 0.50000
Iteration 390000, batch loss: 0.007911, training accuracy: 0.50000
Iteration 400000, batch loss: 0.008511, training accuracy: 0.54000
Iteration 410000, batch loss: 0.008904, training accuracy: 0.40000
Iteration 420000, batch loss: 0.008802, training accuracy: 0.44000
Iteration 430000, batch loss: 0.008867, training accuracy: 0.42000
Iteration 440000, batch loss: 0.010560, training accuracy: 0.46000
Iteration 450000, batch loss: 0.010511, training accuracy: 0.40000
Iteration 460000, batch loss: 0.009526, training accuracy: 0.38000
Iteration 470000, batch loss: 0.010016, training accuracy: 0.38000
Iteration 480000, batch loss: 0.009794, training accuracy: 0.34000
Iteration 490000, batch loss: 0.009128, training accuracy: 0.38000
Iteration 500000, batch loss: 0.008531, training accuracy: 0.56000
Iteration 510000, batch loss: 0.008663, training accuracy: 0.46000
Iteration 520000, batch loss: 0.009375, training accuracy: 0.40000
Iteration 530000, batch loss: 0.007888, training accuracy: 0.58000
Iteration 540000, batch loss: 0.008806, training accuracy: 0.44000
