iteration, loss, accuracy
10000, 0.011802, 0.16000
20000, 0.011174, 0.20000
30000, 0.011100, 0.16000
40000, 0.011147, 0.18000
50000, 0.011042, 0.18000
60000, 0.010560, 0.28000
70000, 0.010793, 0.28000
80000, 0.010783, 0.26000
90000, 0.010430, 0.30000
100000, 0.010371, 0.32000
110000, 0.009556, 0.36000
120000, 0.010438, 0.40000
130000, 0.009866, 0.36000
140000, 0.010356, 0.26000
150000, 0.009666, 0.30000
160000, 0.008835, 0.46000
170000, 0.009389, 0.34000
180000, 0.010374, 0.22000
190000, 0.009479, 0.38000
200000, 0.008766, 0.46000
210000, 0.009230, 0.42000
220000, 0.009275, 0.36000
230000, 0.008728, 0.42000
240000, 0.008834, 0.44000
250000, 0.010051, 0.40000
260000, 0.007937, 0.50000
270000, 0.009065, 0.40000
280000, 0.010564, 0.26000
290000, 0.008409, 0.48000
300000, 0.009464, 0.36000
310000, 0.009392, 0.38000
320000, 0.009334, 0.40000
330000, 0.009679, 0.32000
340000, 0.009481, 0.32000
350000, 0.008813, 0.38000
360000, 0.008280, 0.48000
370000, 0.008531, 0.46000
380000, 0.007622, 0.56000
390000, 0.009279, 0.36000
400000, 0.009083, 0.38000
410000, 0.009133, 0.40000
420000, 0.006507, 0.62000
430000, 0.008206, 0.48000
440000, 0.008710, 0.52000
450000, 0.009552, 0.40000
460000, 0.008286, 0.48000
470000, 0.007432, 0.58000
480000, 0.007728, 0.50000
490000, 0.007133, 0.62000
500000, 0.006144, 0.62000
510000, 0.008384, 0.44000
520000, 0.007519, 0.56000
530000, 0.006947, 0.58000
540000, 0.006905, 0.58000
550000, 0.005754, 0.68000
560000, 0.006982, 0.52000
570000, 0.006369, 0.60000
580000, 0.006496, 0.62000
590000, 0.005909, 0.74000
600000, 0.005101, 0.74000
610000, 0.007017, 0.54000
620000, 0.005757, 0.72000
630000, 0.004686, 0.70000
640000, 0.005358, 0.68000
650000, 0.005003, 0.74000
660000, 0.004167, 0.80000
670000, 0.005369, 0.70000
680000, 0.005506, 0.74000
690000, 0.004380, 0.78000
700000, 0.004802, 0.76000
710000, 0.005033, 0.70000
720000, 0.005245, 0.68000
730000, 0.004064, 0.86000
740000, 0.004493, 0.78000
750000, 0.004482, 0.72000
760000, 0.004321, 0.72000
770000, 0.003799, 0.84000
780000, 0.004964, 0.74000
790000, 0.004283, 0.78000
800000, 0.004997, 0.72000
810000, 0.003586, 0.84000
820000, 0.004087, 0.80000
830000, 0.004514, 0.72000
840000, 0.004192, 0.76000
850000, 0.003473, 0.84000
860000, 0.003672, 0.86000
870000, 0.002728, 0.86000
880000, 0.003312, 0.84000
890000, 0.003135, 0.86000
900000, 0.002155, 0.90000
910000, 0.003648, 0.76000
920000, 0.002009, 0.94000
930000, 0.002446, 0.88000
940000, 0.004497, 0.72000
950000, 0.003308, 0.84000
960000, 0.002878, 0.90000
970000, 0.003487, 0.82000
980000, 0.003040, 0.82000
990000, 0.002959, 0.88000
1000000, 0.004188, 0.76000
1010000, 0.003135, 0.86000
1020000, 0.002239, 0.90000
1030000, 0.003093, 0.82000
1040000, 0.002541, 0.86000
1050000, 0.003630, 0.76000
1060000, 0.002948, 0.82000
1070000, 0.002710, 0.86000
1080000, 0.001790, 0.96000
1090000, 0.002606, 0.90000
1100000, 0.002033, 0.92000
1110000, 0.002200, 0.92000
1120000, 0.001932, 0.90000
1130000, 0.003266, 0.82000
1140000, 0.002857, 0.84000
1150000, 0.002474, 0.82000
1160000, 0.001564, 0.94000
1170000, 0.002360, 0.86000
1180000, 0.002268, 0.90000
1190000, 0.001837, 0.90000
1200000, 0.001797, 0.90000
1210000, 0.002817, 0.86000
1220000, 0.002478, 0.84000
1230000, 0.002010, 0.88000
1240000, 0.001682, 0.94000
1250000, 0.001881, 0.92000
1260000, 0.001163, 0.96000
1270000, 0.001573, 0.94000
1280000, 0.001956, 0.90000
1290000, 0.001876, 0.92000
1300000, 0.001434, 0.94000
1310000, 0.001932, 0.88000
1320000, 0.001840, 0.94000
1330000, 0.001868, 0.92000
1340000, 0.001338, 0.94000
1350000, 0.001952, 0.92000
1360000, 0.001348, 0.94000
1370000, 0.001881, 0.90000
1380000, 0.001715, 0.88000
1390000, 0.001165, 0.94000
1400000, 0.001544, 0.92000
1410000, 0.001354, 0.96000
1420000, 0.001964, 0.90000
1430000, 0.001124, 0.98000
1440000, 0.001130, 0.96000
1450000, 0.001106, 0.94000
1460000, 0.001696, 0.92000
1470000, 0.001893, 0.96000
1480000, 0.001461, 0.98000
1490000, 0.002375, 0.86000
1500000, 0.001268, 0.96000
1510000, 0.001355, 0.94000
1520000, 0.000739, 0.98000
1530000, 0.001478, 0.94000
1540000, 0.001204, 0.96000
1550000, 0.000926, 0.96000
1560000, 0.001383, 0.96000
1570000, 0.001841, 0.96000
1580000, 0.001554, 1.00000
1590000, 0.001269, 0.96000
1600000, 0.001199, 0.94000
1610000, 0.001521, 0.92000
1620000, 0.000520, 1.00000
1630000, 0.001207, 0.96000
1640000, 0.001294, 0.94000
1650000, 0.000976, 0.98000
1660000, 0.001523, 0.92000
