iteration, loss, accuracy
10000, 0.010415, 0.24000
20000, 0.010148, 0.20000
30000, 0.009791, 0.28000
40000, 0.010153, 0.20000
50000, 0.009980, 0.22000
60000, 0.009484, 0.36000
70000, 0.009448, 0.24000
80000, 0.009621, 0.26000
90000, 0.009076, 0.34000
100000, 0.009673, 0.24000
110000, 0.009743, 0.28000
120000, 0.008992, 0.34000
130000, 0.009211, 0.24000
140000, 0.008574, 0.38000
150000, 0.009552, 0.30000
160000, 0.008969, 0.36000
170000, 0.008204, 0.40000
180000, 0.009026, 0.32000
190000, 0.009027, 0.34000
200000, 0.009052, 0.30000
210000, 0.008295, 0.42000
220000, 0.007381, 0.58000
230000, 0.009183, 0.28000
240000, 0.009000, 0.40000
250000, 0.009363, 0.24000
260000, 0.007496, 0.42000
270000, 0.008409, 0.44000
280000, 0.008040, 0.38000
290000, 0.007892, 0.38000
300000, 0.008436, 0.38000
310000, 0.008588, 0.36000
320000, 0.008535, 0.34000
330000, 0.008603, 0.36000
340000, 0.008487, 0.32000
350000, 0.007674, 0.44000
360000, 0.008289, 0.30000
370000, 0.008492, 0.34000
380000, 0.007326, 0.48000
390000, 0.008180, 0.38000
400000, 0.007625, 0.44000
410000, 0.008303, 0.40000
420000, 0.007738, 0.44000
430000, 0.007059, 0.54000
440000, 0.007115, 0.52000
450000, 0.007670, 0.46000
460000, 0.008655, 0.32000
470000, 0.007240, 0.52000
480000, 0.008244, 0.44000
490000, 0.007944, 0.50000
500000, 0.007242, 0.48000
510000, 0.006785, 0.50000
520000, 0.008177, 0.38000
530000, 0.008189, 0.34000
540000, 0.008994, 0.30000
550000, 0.007547, 0.48000
560000, 0.006665, 0.50000
570000, 0.006609, 0.60000
580000, 0.008035, 0.44000
590000, 0.008416, 0.44000
600000, 0.007828, 0.44000
610000, 0.007347, 0.46000
620000, 0.008083, 0.40000
630000, 0.006579, 0.48000
640000, 0.008652, 0.44000
650000, 0.008355, 0.56000
660000, 0.008123, 0.46000
670000, 0.008272, 0.44000
680000, 0.007528, 0.50000
690000, 0.007907, 0.40000
700000, 0.008376, 0.40000
710000, 0.007292, 0.58000
720000, 0.008607, 0.38000
730000, 0.007563, 0.48000
740000, 0.008805, 0.32000
750000, 0.008105, 0.42000
760000, 0.007598, 0.44000
770000, 0.007372, 0.44000
780000, 0.007390, 0.50000
790000, 0.007452, 0.50000
800000, 0.007319, 0.54000
810000, 0.007838, 0.38000
820000, 0.007606, 0.40000
830000, 0.007866, 0.46000
840000, 0.008212, 0.42000
850000, 0.006990, 0.54000
860000, 0.007685, 0.42000
870000, 0.007198, 0.44000
880000, 0.008633, 0.30000
890000, 0.007159, 0.46000
900000, 0.008189, 0.44000
910000, 0.007481, 0.46000
920000, 0.007071, 0.42000
930000, 0.007654, 0.38000
940000, 0.007666, 0.44000
950000, 0.007665, 0.48000
960000, 0.007234, 0.44000
970000, 0.006446, 0.52000
980000, 0.007095, 0.52000
990000, 0.007419, 0.48000
1000000, 0.006554, 0.52000
1010000, 0.007567, 0.42000
1020000, 0.007716, 0.42000
1030000, 0.007142, 0.52000
1040000, 0.006936, 0.52000
1050000, 0.007444, 0.44000
1060000, 0.006925, 0.48000
1070000, 0.006272, 0.52000
1080000, 0.007617, 0.46000
1090000, 0.007141, 0.52000
1100000, 0.007786, 0.42000
1110000, 0.008124, 0.36000
1120000, 0.006385, 0.50000
1130000, 0.007368, 0.44000
1140000, 0.007985, 0.38000
1150000, 0.008480, 0.42000
1160000, 0.007784, 0.34000
1170000, 0.006513, 0.56000
1180000, 0.007052, 0.56000
1190000, 0.007844, 0.46000
1200000, 0.006775, 0.50000
1210000, 0.007029, 0.52000
1220000, 0.007210, 0.52000
1230000, 0.006033, 0.66000
1240000, 0.007152, 0.44000
1250000, 0.006137, 0.54000
1260000, 0.007157, 0.50000
1270000, 0.006448, 0.52000
1280000, 0.007090, 0.46000
1290000, 0.005658, 0.58000
1300000, 0.007292, 0.58000
1310000, 0.007057, 0.48000
1320000, 0.006899, 0.52000
1330000, 0.006198, 0.56000
1340000, 0.006871, 0.46000
1350000, 0.006724, 0.50000
1360000, 0.006480, 0.50000
1370000, 0.007141, 0.46000
1380000, 0.007929, 0.42000
1390000, 0.006834, 0.50000
1400000, 0.005786, 0.58000
1410000, 0.006567, 0.52000
1420000, 0.006316, 0.56000
1430000, 0.007422, 0.46000
1440000, 0.006004, 0.56000
1450000, 0.007175, 0.46000
1460000, 0.007782, 0.42000
1470000, 0.006701, 0.50000
1480000, 0.006875, 0.50000
1490000, 0.005742, 0.66000
1500000, 0.005805, 0.62000
1510000, 0.006668, 0.48000
1520000, 0.006347, 0.60000
1530000, 0.007434, 0.52000
1540000, 0.005726, 0.58000
1550000, 0.005737, 0.70000
1560000, 0.006548, 0.58000
1570000, 0.006186, 0.58000
1580000, 0.007047, 0.46000
1590000, 0.006645, 0.50000
1600000, 0.006565, 0.52000
1610000, 0.006548, 0.50000
1620000, 0.006187, 0.58000
1630000, 0.006219, 0.56000
1640000, 0.004125, 0.70000
1650000, 0.006518, 0.58000
1660000, 0.006253, 0.58000
1670000, 0.006567, 0.52000
1680000, 0.006190, 0.54000
1690000, 0.006166, 0.56000
1700000, 0.007062, 0.52000
1710000, 0.005644, 0.62000
1720000, 0.005540, 0.70000
1730000, 0.006545, 0.52000
1740000, 0.006186, 0.54000
1750000, 0.006743, 0.52000
1760000, 0.006357, 0.52000
1770000, 0.006325, 0.58000
1780000, 0.005701, 0.54000
1790000, 0.007482, 0.36000
1800000, 0.005827, 0.60000
1810000, 0.006084, 0.58000
1820000, 0.005192, 0.62000
1830000, 0.005917, 0.56000
1840000, 0.005937, 0.62000
1850000, 0.005859, 0.66000
1860000, 0.006511, 0.48000
1870000, 0.006835, 0.46000
1880000, 0.006248, 0.56000
1890000, 0.006570, 0.52000
1900000, 0.007679, 0.38000
1910000, 0.005331, 0.64000
1920000, 0.005494, 0.56000
1930000, 0.005275, 0.64000
1940000, 0.004943, 0.66000
1950000, 0.005059, 0.70000
1960000, 0.006025, 0.60000
1970000, 0.007004, 0.44000
1980000, 0.007056, 0.46000
1990000, 0.005501, 0.58000
2000000, 0.005497, 0.58000
2010000, 0.005395, 0.64000
2020000, 0.005776, 0.54000
2030000, 0.006656, 0.52000
2040000, 0.005486, 0.62000
2050000, 0.006208, 0.56000
2060000, 0.004686, 0.64000
2070000, 0.004206, 0.72000
2080000, 0.004155, 0.74000
2090000, 0.004781, 0.66000
2100000, 0.005143, 0.72000
2110000, 0.004726, 0.66000
2120000, 0.006733, 0.46000
2130000, 0.004808, 0.64000
2140000, 0.005259, 0.62000
2150000, 0.004761, 0.66000
2160000, 0.004712, 0.68000
2170000, 0.004156, 0.76000
2180000, 0.005027, 0.66000
2190000, 0.004595, 0.64000
2200000, 0.005482, 0.64000
2210000, 0.005621, 0.56000
2220000, 0.004738, 0.68000
2230000, 0.004815, 0.70000
2240000, 0.004667, 0.66000
2250000, 0.004451, 0.70000
2260000, 0.003568, 0.72000
2270000, 0.004044, 0.78000
2280000, 0.003895, 0.80000
2290000, 0.003101, 0.86000
2300000, 0.005553, 0.60000
2310000, 0.004286, 0.68000
2320000, 0.005825, 0.58000
2330000, 0.003917, 0.72000
2340000, 0.002382, 0.84000
2350000, 0.005534, 0.56000
2360000, 0.004697, 0.64000
2370000, 0.004096, 0.72000
2380000, 0.004590, 0.64000
2390000, 0.003473, 0.76000
2400000, 0.004698, 0.68000
2410000, 0.004589, 0.70000
2420000, 0.003804, 0.78000
2430000, 0.003333, 0.78000
2440000, 0.002827, 0.84000
2450000, 0.005235, 0.60000
2460000, 0.003296, 0.78000
2470000, 0.003313, 0.80000
2480000, 0.003724, 0.74000
2490000, 0.003535, 0.80000
2500000, 0.004641, 0.64000
2510000, 0.003985, 0.76000
2520000, 0.003422, 0.78000
2530000, 0.004706, 0.66000
2540000, 0.003821, 0.72000
2550000, 0.003921, 0.74000
2560000, 0.003530, 0.78000
2570000, 0.004089, 0.76000
2580000, 0.002646, 0.82000
2590000, 0.004256, 0.70000
2600000, 0.004265, 0.70000
2610000, 0.002910, 0.80000
2620000, 0.005123, 0.60000
2630000, 0.002963, 0.84000
2640000, 0.004242, 0.68000
2650000, 0.004260, 0.68000
2660000, 0.003785, 0.74000
2670000, 0.003668, 0.76000
2680000, 0.003629, 0.76000
2690000, 0.004283, 0.70000
2700000, 0.004085, 0.74000
2710000, 0.003585, 0.74000
2720000, 0.003974, 0.70000
2730000, 0.003181, 0.80000
2740000, 0.004028, 0.72000
2750000, 0.004444, 0.72000
2760000, 0.003452, 0.74000
2770000, 0.004009, 0.78000
2780000, 0.003804, 0.78000
2790000, 0.004683, 0.66000
2800000, 0.003999, 0.72000
2810000, 0.005038, 0.64000
2820000, 0.004440, 0.68000
2830000, 0.003551, 0.76000
2840000, 0.002723, 0.84000
2850000, 0.004190, 0.70000
2860000, 0.004108, 0.66000
2870000, 0.003278, 0.80000
2880000, 0.004370, 0.66000
2890000, 0.003670, 0.76000
2900000, 0.003597, 0.74000
2910000, 0.004004, 0.72000
2920000, 0.002591, 0.82000
2930000, 0.003721, 0.76000
2940000, 0.002649, 0.82000
2950000, 0.004596, 0.70000
2960000, 0.003287, 0.78000
2970000, 0.004253, 0.72000
2980000, 0.004535, 0.72000
2990000, 0.002726, 0.86000
3000000, 0.003490, 0.76000
3010000, 0.003947, 0.74000
3020000, 0.004773, 0.62000
3030000, 0.004558, 0.64000
3040000, 0.003957, 0.70000
3050000, 0.003210, 0.78000
3060000, 0.003308, 0.76000
3070000, 0.003939, 0.78000
3080000, 0.003297, 0.82000
3090000, 0.002858, 0.82000
3100000, 0.003763, 0.74000
3110000, 0.004031, 0.76000
3120000, 0.003228, 0.74000
3130000, 0.003646, 0.80000
3140000, 0.002316, 0.86000
3150000, 0.004221, 0.68000
3160000, 0.003094, 0.76000
3170000, 0.003257, 0.76000
3180000, 0.003150, 0.80000
3190000, 0.003071, 0.84000
3200000, 0.002680, 0.80000
3210000, 0.003372, 0.76000
3220000, 0.003551, 0.76000
3230000, 0.004290, 0.66000
3240000, 0.003659, 0.74000
3250000, 0.003180, 0.78000
3260000, 0.003589, 0.76000
3270000, 0.003659, 0.76000
3280000, 0.002518, 0.84000
3290000, 0.002677, 0.80000
3300000, 0.003883, 0.78000
3310000, 0.004177, 0.66000
3320000, 0.004031, 0.68000
3330000, 0.004217, 0.70000
3340000, 0.003061, 0.82000
3350000, 0.003394, 0.74000
3360000, 0.003106, 0.80000
3370000, 0.004137, 0.76000
3380000, 0.003284, 0.76000
3390000, 0.003549, 0.74000
3400000, 0.003357, 0.76000
3410000, 0.003753, 0.78000
3420000, 0.003285, 0.86000
3430000, 0.002487, 0.86000
3440000, 0.003375, 0.78000
3450000, 0.003651, 0.72000
3460000, 0.003074, 0.78000
3470000, 0.003557, 0.76000
3480000, 0.003364, 0.78000
3490000, 0.003265, 0.74000
3500000, 0.002757, 0.82000
3510000, 0.002868, 0.82000
3520000, 0.002856, 0.80000
3530000, 0.003097, 0.80000
3540000, 0.002238, 0.90000
3550000, 0.002909, 0.80000
3560000, 0.001935, 0.88000
3570000, 0.003783, 0.78000
3580000, 0.002108, 0.86000
3590000, 0.003339, 0.78000
3600000, 0.003570, 0.76000
3610000, 0.002402, 0.84000
3620000, 0.003739, 0.74000
3630000, 0.004272, 0.66000
3640000, 0.003843, 0.70000
3650000, 0.004192, 0.76000
3660000, 0.002889, 0.82000
3670000, 0.003831, 0.72000
3680000, 0.003829, 0.70000
3690000, 0.002358, 0.82000
3700000, 0.002810, 0.80000
3710000, 0.003450, 0.76000
3720000, 0.002343, 0.84000
3730000, 0.003080, 0.84000
3740000, 0.002914, 0.78000
3750000, 0.002937, 0.84000
3760000, 0.003116, 0.82000
3770000, 0.003012, 0.80000
3780000, 0.001550, 0.90000
3790000, 0.003465, 0.76000
3800000, 0.002692, 0.84000
3810000, 0.002573, 0.82000
3820000, 0.002531, 0.82000
3830000, 0.003269, 0.78000
3840000, 0.003026, 0.78000
3850000, 0.003081, 0.80000
3860000, 0.003588, 0.72000
3870000, 0.003599, 0.76000
3880000, 0.001958, 0.90000
3890000, 0.002311, 0.84000
3900000, 0.002911, 0.84000
3910000, 0.003084, 0.80000
3920000, 0.004098, 0.70000
3930000, 0.001186, 0.94000
3940000, 0.003072, 0.80000
3950000, 0.002850, 0.86000
3960000, 0.002954, 0.78000
3970000, 0.003515, 0.78000
3980000, 0.002477, 0.90000
3990000, 0.002595, 0.82000
4000000, 0.003370, 0.76000
4010000, 0.002319, 0.88000
4020000, 0.002429, 0.86000
4030000, 0.002877, 0.80000
4040000, 0.002416, 0.84000
4050000, 0.003394, 0.74000
4060000, 0.002519, 0.86000
4070000, 0.002386, 0.88000
4080000, 0.003166, 0.78000
4090000, 0.003455, 0.74000
4100000, 0.002830, 0.82000
4110000, 0.002315, 0.88000
4120000, 0.002565, 0.82000
4130000, 0.002218, 0.90000
4140000, 0.002409, 0.84000
