Iteration 10000, batch loss: 0.010415, training accuracy: 0.24000
Iteration 20000, batch loss: 0.010148, training accuracy: 0.20000
Iteration 30000, batch loss: 0.009791, training accuracy: 0.28000
Iteration 40000, batch loss: 0.010153, training accuracy: 0.20000
Iteration 50000, batch loss: 0.009980, training accuracy: 0.22000
Iteration 60000, batch loss: 0.009484, training accuracy: 0.36000
Iteration 70000, batch loss: 0.009448, training accuracy: 0.24000
Iteration 80000, batch loss: 0.009621, training accuracy: 0.26000
Iteration 90000, batch loss: 0.009076, training accuracy: 0.34000
Iteration 100000, batch loss: 0.009673, training accuracy: 0.24000
Iteration 110000, batch loss: 0.009743, training accuracy: 0.28000
Iteration 120000, batch loss: 0.008992, training accuracy: 0.34000
Iteration 130000, batch loss: 0.009211, training accuracy: 0.24000
Iteration 140000, batch loss: 0.008574, training accuracy: 0.38000
Iteration 150000, batch loss: 0.009552, training accuracy: 0.30000
Iteration 160000, batch loss: 0.008969, training accuracy: 0.36000
Iteration 170000, batch loss: 0.008204, training accuracy: 0.40000
Iteration 180000, batch loss: 0.009026, training accuracy: 0.32000
Iteration 190000, batch loss: 0.009027, training accuracy: 0.34000
Iteration 200000, batch loss: 0.009052, training accuracy: 0.30000
Iteration 210000, batch loss: 0.008295, training accuracy: 0.42000
Iteration 220000, batch loss: 0.007381, training accuracy: 0.58000
Iteration 230000, batch loss: 0.009183, training accuracy: 0.28000
Iteration 240000, batch loss: 0.009000, training accuracy: 0.40000
Iteration 250000, batch loss: 0.009363, training accuracy: 0.24000
Iteration 260000, batch loss: 0.007496, training accuracy: 0.42000
Iteration 270000, batch loss: 0.008409, training accuracy: 0.44000
Iteration 280000, batch loss: 0.008040, training accuracy: 0.38000
Iteration 290000, batch loss: 0.007892, training accuracy: 0.38000
Iteration 300000, batch loss: 0.008436, training accuracy: 0.38000
Iteration 310000, batch loss: 0.008588, training accuracy: 0.36000
Iteration 320000, batch loss: 0.008535, training accuracy: 0.34000
Iteration 330000, batch loss: 0.008603, training accuracy: 0.36000
Iteration 340000, batch loss: 0.008487, training accuracy: 0.32000
Iteration 350000, batch loss: 0.007674, training accuracy: 0.44000
Iteration 360000, batch loss: 0.008289, training accuracy: 0.30000
Iteration 370000, batch loss: 0.008492, training accuracy: 0.34000
Iteration 380000, batch loss: 0.007326, training accuracy: 0.48000
Iteration 390000, batch loss: 0.008180, training accuracy: 0.38000
Iteration 400000, batch loss: 0.007625, training accuracy: 0.44000
Iteration 410000, batch loss: 0.008303, training accuracy: 0.40000
Iteration 420000, batch loss: 0.007738, training accuracy: 0.44000
Iteration 430000, batch loss: 0.007059, training accuracy: 0.54000
Iteration 440000, batch loss: 0.007115, training accuracy: 0.52000
Iteration 450000, batch loss: 0.007670, training accuracy: 0.46000
Iteration 460000, batch loss: 0.008655, training accuracy: 0.32000
Iteration 470000, batch loss: 0.007240, training accuracy: 0.52000
Iteration 480000, batch loss: 0.008244, training accuracy: 0.44000
Iteration 490000, batch loss: 0.007944, training accuracy: 0.50000
Iteration 500000, batch loss: 0.007242, training accuracy: 0.48000
Iteration 510000, batch loss: 0.006785, training accuracy: 0.50000
Iteration 520000, batch loss: 0.008177, training accuracy: 0.38000
Iteration 530000, batch loss: 0.008189, training accuracy: 0.34000
Iteration 540000, batch loss: 0.008994, training accuracy: 0.30000
Iteration 550000, batch loss: 0.007547, training accuracy: 0.48000
Iteration 560000, batch loss: 0.006665, training accuracy: 0.50000
Iteration 570000, batch loss: 0.006609, training accuracy: 0.60000
Iteration 580000, batch loss: 0.008035, training accuracy: 0.44000
Iteration 590000, batch loss: 0.008416, training accuracy: 0.44000
Iteration 600000, batch loss: 0.007828, training accuracy: 0.44000
Iteration 610000, batch loss: 0.007347, training accuracy: 0.46000
Iteration 620000, batch loss: 0.008083, training accuracy: 0.40000
Iteration 630000, batch loss: 0.006579, training accuracy: 0.48000
Iteration 640000, batch loss: 0.008652, training accuracy: 0.44000
Iteration 650000, batch loss: 0.008355, training accuracy: 0.56000
Iteration 660000, batch loss: 0.008123, training accuracy: 0.46000
Iteration 670000, batch loss: 0.008272, training accuracy: 0.44000
Iteration 680000, batch loss: 0.007528, training accuracy: 0.50000
Iteration 690000, batch loss: 0.007907, training accuracy: 0.40000
Iteration 700000, batch loss: 0.008376, training accuracy: 0.40000
Iteration 710000, batch loss: 0.007292, training accuracy: 0.58000
Iteration 720000, batch loss: 0.008607, training accuracy: 0.38000
Iteration 730000, batch loss: 0.007563, training accuracy: 0.48000
Iteration 740000, batch loss: 0.008805, training accuracy: 0.32000
Iteration 750000, batch loss: 0.008105, training accuracy: 0.42000
Iteration 760000, batch loss: 0.007598, training accuracy: 0.44000
Iteration 770000, batch loss: 0.007372, training accuracy: 0.44000
Iteration 780000, batch loss: 0.007390, training accuracy: 0.50000
Iteration 790000, batch loss: 0.007452, training accuracy: 0.50000
Iteration 800000, batch loss: 0.007319, training accuracy: 0.54000
Iteration 810000, batch loss: 0.007838, training accuracy: 0.38000
Iteration 820000, batch loss: 0.007606, training accuracy: 0.40000
Iteration 830000, batch loss: 0.007866, training accuracy: 0.46000
