Iteration 5000, batch loss: 0.013900, training accuracy: 0.12000
Iteration 10000, batch loss: 0.013377, training accuracy: 0.20000
Iteration 15000, batch loss: 0.013441, training accuracy: 0.16000
Iteration 20000, batch loss: 0.012264, training accuracy: 0.22000
Iteration 25000, batch loss: 0.012261, training accuracy: 0.30000
Iteration 30000, batch loss: 0.012680, training accuracy: 0.18000
Iteration 35000, batch loss: 0.012219, training accuracy: 0.34000
Iteration 40000, batch loss: 0.011816, training accuracy: 0.34000
Iteration 45000, batch loss: 0.011958, training accuracy: 0.32000
Iteration 50000, batch loss: 0.011327, training accuracy: 0.34000
Iteration 55000, batch loss: 0.011971, training accuracy: 0.26000
Iteration 60000, batch loss: 0.010976, training accuracy: 0.38000
Iteration 65000, batch loss: 0.011359, training accuracy: 0.44000
Iteration 70000, batch loss: 0.011302, training accuracy: 0.38000
Iteration 75000, batch loss: 0.011014, training accuracy: 0.38000
Iteration 80000, batch loss: 0.010754, training accuracy: 0.36000
Iteration 85000, batch loss: 0.010515, training accuracy: 0.40000
Iteration 90000, batch loss: 0.011445, training accuracy: 0.32000
Iteration 95000, batch loss: 0.010607, training accuracy: 0.40000
Iteration 100000, batch loss: 0.011305, training accuracy: 0.32000
Iteration 105000, batch loss: 0.009080, training accuracy: 0.52000
Iteration 110000, batch loss: 0.010359, training accuracy: 0.38000
Iteration 115000, batch loss: 0.010752, training accuracy: 0.46000
Iteration 120000, batch loss: 0.011114, training accuracy: 0.38000
Iteration 125000, batch loss: 0.010626, training accuracy: 0.38000
Iteration 130000, batch loss: 0.011309, training accuracy: 0.34000
Iteration 135000, batch loss: 0.009394, training accuracy: 0.52000
Iteration 140000, batch loss: 0.010621, training accuracy: 0.40000
Iteration 145000, batch loss: 0.011205, training accuracy: 0.42000
Iteration 150000, batch loss: 0.010558, training accuracy: 0.38000
Iteration 155000, batch loss: 0.009484, training accuracy: 0.52000
Iteration 160000, batch loss: 0.010041, training accuracy: 0.42000
Iteration 165000, batch loss: 0.009710, training accuracy: 0.50000
Iteration 170000, batch loss: 0.009920, training accuracy: 0.40000
Iteration 175000, batch loss: 0.008922, training accuracy: 0.62000
Iteration 180000, batch loss: 0.009645, training accuracy: 0.48000
Iteration 185000, batch loss: 0.009521, training accuracy: 0.52000
Iteration 190000, batch loss: 0.009307, training accuracy: 0.56000
Iteration 195000, batch loss: 0.008772, training accuracy: 0.46000
Iteration 200000, batch loss: 0.009206, training accuracy: 0.50000
